,LONGITUD,LATITUD,DBO_mg/L,DQO_mg/L,SST_mg/L,COLI_FEC_NMP_100mL,E_COLI_NMP_100mL,OD_PORC,TOX_D_48_UT,TOX_V_15_UT,TOX_FIS_SUP_15_UT,SEMAFORO,GRUPO,Coordenadas
0,-102.33911,22.2473,6.0,54.08,13.75,1162.0,98.0,68.3,1.0,1.0,1.0,Rojo,LENTICO,POINT (-102.33911 22.2473)
1,-109.8429,22.90473,2.63,27.01,10.0,2400.0,424.0,68.3,1.0,1.0,1.0,Verde,COSTERO,POINT (-109.8429 22.90473)
2,-109.86442,22.8988,2.63,27.01,10.0,2400.0,424.0,68.3,1.0,1.0,1.0,Verde,COSTERO,POINT (-109.86442 22.8988)
3,-109.88604,22.89609,2.63,27.01,13.9667,2400.0,424.0,68.3,1.0,1.0,1.0,Verde,COSTERO,POINT (-109.88604 22.89609)
4,-109.89657,22.87694,2.63,27.01,10.0,2400.0,424.0,68.3,1.0,1.0,1.0,Verde,COSTERO,POINT (-109.89657 22.87694)
5,-109.9025,22.88,2.63,27.01,22.0667,2400.0,424.0,68.3,1.0,1.0,1.0,Verde,COSTERO,POINT (-109.9025 22.88)
6,-109.9054,22.8831,2.63,27.01,13.9667,2400.0,424.0,68.3,1.0,1.0,1.0,Verde,COSTERO,POINT (-109.9054 22.8831)
7,-110.23902,23.4393,2.63,27.01,57.85,2400.0,424.0,68.3,1.0,1.0,1.0,Rojo,COSTERO,POINT (-110.23902 23.4393)
8,-110.22379,23.45805,2.0,10.0,33.9,3873.0,512.0,83.6,1.0,1.0,1.0,Amarillo,LOTICO,POINT (-110.22379 23.45805)
9,-109.80786,23.43995,2.0,10.0,25.6,189.0,3.0,137.0,1.0,1.0,1.0,Amarillo,LOTICO,POINT (-109.80786 23.43995)
10,-109.8261,23.39128,4.26,27.98,14.0,1408.0,84.0,90.0,1.0,1.0,1.0,Amarillo,LOTICO,POINT (-109.8261 23.39128)
11,-110.95153,24.50289,2.0,10.0,10.0,15531.0,538.0,25.0,1.0,1.0,1.0,Amarillo,LOTICO,POINT (-110.95153 24.50289)
12,-111.00268,24.46953,2.0,10.0,10.0,10.0,3.0,104.8,1.0,1.0,1.0,Verde,LOTICO,POINT (-111.00268 24.46953)
13,-109.77912,23.337,6.4,10.0,10.0,24196.0,14136.0,68.3,1.0,1.0,1.0,Amarillo,LOTICO,POINT (-109.77912 23.337)
14,-109.84545,23.73546,2.0,10.0,10.0,218.0,3.0,95.1,1.0,1.0,1.0,Verde,LOTICO,POINT (-109.84545 23.73546)
15,-111.80531,26.06218,2.0,10.0,10.0,663.0,74.0,93.4,1.0,1.0,1.0,Verde,LOTICO,POINT (-111.80531 26.06218)
16,-113.46249,26.80955,2.63,27.01,10.0,2400.0,424.0,68.3,1.0,1.0,1.0,Verde,COSTERO,POINT (-113.46249 26.80955)
17,-112.09347,25.69695,2.63,27.01,19.5333,2400.0,424.0,68.3,1.0,1.0,1.0,Verde,COSTERO,POINT (-112.09347 25.69695)
18,-111.8325,26.03686,2.0,10.0,10.1,1408.0,368.0,85.4,1.0,1.0,1.0,Amarillo,LOTICO,POINT (-111.8325 26.03686)
19,-111.23517,25.7233,2.63,27.01,10.0,2400.0,424.0,68.3,1.0,1.0,1.0,Verde,COSTERO,POINT (-111.23517 25.7233)
